gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
0.6800086,0.0019261638,63.555,63.53,63.7525,63.615,1.0,1714059900.0,19.585854,-0.0024078651,1714057500.0,-0.4581894,-0.8761886,9.81,0.0075049037
0.6900087,0.0017656501,63.5275,63.5375,63.79,63.6475,1.0,1714059800.0,19.558804,-0.00056104176,1714057700.0,-0.5162408,-1.1355566,9.81,0.0050294423
0.70000887,0.0016853933,63.5425,63.5325,63.767498,63.5925,1.0,1714059500.0,19.58301,0.0030843278,1714057300.0,-0.56863475,-1.0841454,9.81,0.007553223
0.710009,0.0016051364,63.5575,63.5275,63.739998,63.6575,1.0,1714060300.0,19.568138,-0.016172605,1714058000.0,-0.55949736,-0.74083203,9.81,0.009835398
0.7200091,0.0016853933,63.535,63.53,63.825,63.6525,1.0,1714060000.0,19.576365,-0.027375264,1714058000.0,-0.51833886,-0.48973924,9.81,0.010595153
0.73000926,0.0020064206,63.525,63.535,63.8475,63.685,1.0,1714060000.0,19.55014,-0.025780652,1714057700.0,-0.5410555,-0.5230731,9.81,0.0066168495
0.74000937,0.0024077047,63.52,63.54,63.802498,63.65,1.0,1714059500.0,19.57657,0.00024622778,1714057700.0,-0.531955,-0.62791014,9.81,0.0032566155
0.7500095,0.002728732,63.52,63.5425,63.774998,63.66,1.0,1714059800.0,19.572992,0.0125933625,1714058000.0,-0.5285621,-0.64187706,9.81,0.0033374033
0.7600096,0.0029695025,63.485,63.555,63.795,63.68,1.0,1714060300.0,19.622131,0.03572851,1714058400.0,-0.55020547,-0.7548626,9.81,0.0032124077
0.77000976,0.0032905298,63.4925,63.5425,63.782497,63.76,1.0,1714059900.0,19.607489,0.05296632,1714057600.0,-0.64266795,-1.122988,9.81,0.0049565053
0.78000987,0.003611557,63.489998,63.545002,63.8,63.72,1.0,1714060000.0,19.623283,0.053303473,1714058200.0,-0.79892176,-1.4912148,9.81,0.0069031203
0.79001,0.0037720706,63.4575,63.535,63.7875,63.72,1.0,1714059900.0,19.594152,0.07988308,1714058200.0,-0.79141134,-1.4943724,9.81,0.0060971524
0.8000101,0.0038523276,63.445,63.537502,63.8325,63.735,1.0,1714060000.0,19.620615,0.10096227,1714058200.0,-0.62302166,-1.2702118,9.81,0.00807041
0.81001025,0.0039325845,63.4475,63.5275,63.8325,63.712498,1.0,1714059800.0,19.581337,0.08165992,1714057900.0,-0.405754,-1.1538264,9.81,0.0070866668
0.82001036,0.0040128413,63.44,63.5175,63.765,63.7175,1.0,1714059900.0,19.603361,0.06837911,1714058000.0,-0.2743638,-1.0230639,9.81,0.005957957
0.8300105,0.0039325845,63.427498,63.5275,63.7175,63.725,1.0,1714060000.0,19.58789,0.06610868,1714058100.0,-0.2632545,-0.6676614,9.81,0.0073509933
0.84001064,0.003691814,63.45,63.5275,63.7375,63.77,1.0,1714060000.0,19.581629,0.054526627,1714058200.0,-0.21232767,-0.29844177,9.81,0.009619161
0.85001075,0.0033707866,63.4575,63.5275,63.7575,63.7725,1.0,1714060300.0,19.55191,0.08281332,1714058400.0,-0.16049841,-0.31764135,9.81,0.015232174
0.86001086,0.0030497592,63.43,63.5175,63.725,63.75,1.0,1714060400.0,19.555178,0.065330386,1714058200.0,-0.24459928,-0.64285326,9.81,0.021555554
0.870011,0.0025682184,63.4175,63.53,63.7225,63.7,1.0,1714060300.0,19.539167,0.07025727,1714058400.0,-0.4399375,-0.8397768,9.81,0.021604873
0.88001114,0.0020064206,63.4325,63.53,63.73,63.755,1.0,1714060300.0,19.507011,0.061000682,1714058400.0,-0.6507016,-0.9160922,9.81,0.0172938
0.89001125,0.0015248796,63.4775,63.54,63.7625,63.739998,1.0,1714059800.0,19.486053,0.062472098,1714057900.0,-0.76902294,-0.9858139,9.81,0.010591637
